iter	Passed	Remaining
0	218	109151
1	284	70781
2	315	52331
3	391	48565
4	424	42067
5	496	40871
6	559	39432
7	626	38517
8	683	37308
9	765	37513
10	841	37427
11	901	36663
12	988	37028
13	1061	36851
14	1131	36574
15	1213	36720
16	1278	36317
17	1341	35935
18	1414	35808
19	1487	35702
20	1507	34387
21	1575	34220
22	1643	34091
23	1682	33376
24	1761	33471
25	1836	33479
26	1901	33313
27	1988	33523
28	2058	33425
29	2131	33390
30	2202	33324
31	2269	33185
32	2334	33031
33	2369	32470
34	2421	32168
35	2480	31971
36	2530	31659
37	2546	30965
38	2616	30924
39	2681	30837
40	2748	30765
41	2816	30711
42	2849	30289
43	2876	29812
44	2903	29355
45	2974	29360
46	3002	28940
47	3071	28919
48	3124	28760
49	3146	28317
50	3167	27885
51	3236	27886
52	3253	27439
53	3325	27463
54	3364	27219
55	3422	27135
56	3485	27087
57	3503	26695
58	3567	26668
59	3634	26655
60	3651	26279
61	3720	26280
62	3788	26276
63	3804	25919
64	3827	25611
65	3851	25328
66	3874	25037
67	3903	24796
68	3924	24512
69	4002	24584
70	4077	24639
71	4119	24488
72	4145	24250
73	4189	24117
74	4207	23840
75	4264	23792
76	4284	23537
77	4328	23415
78	4386	23373
79	4416	23187
80	4456	23054
81	4524	23064
82	4597	23099
83	4623	22897
84	4649	22701
85	4666	22462
86	4716	22389
87	4740	22194
88	4757	21969
89	4813	21929
90	4869	21886
91	4937	21898
92	5015	21951
93	5036	21753
94	5055	21551
95	5094	21438
96	5147	21386
97	5207	21362
98	5226	21170
99	5262	21051
100	5280	20861
101	5339	20832
102	5396	20801
103	5468	20821
104	5547	20869
105	5614	20869
106	5683	20875
107	5733	20809
108	5795	20790
109	5862	20786
110	5926	20767
111	6001	20789
112	6062	20763
113	6097	20646
114	6157	20614
115	6216	20578
116	6288	20585
117	6368	20616
118	6397	20482
119	6438	20389
120	6503	20369
121	6571	20361
122	6640	20354
123	6705	20331
124	6783	20349
125	6855	20348
126	6914	20308
127	6979	20284
128	7064	20316
129	7119	20262
130	7193	20262
131	7261	20244
132	7328	20222
133	7396	20201
134	7449	20141
135	7489	20046
136	7539	19977
137	7599	19934
138	7655	19883
139	7717	19845
140	7759	19755
141	7808	19685
142	7868	19644
143	7931	19607
144	8009	19608
145	8059	19542
146	8128	19519
147	8209	19524
148	8264	19469
149	8321	19416
150	8390	19393
151	8457	19363
152	8525	19334
153	8585	19290
154	8643	19239
155	8700	19185
156	8753	19124
157	8796	19041
158	8851	18983
159	8915	18945
160	8990	18930
161	9058	18899
162	9093	18800
163	9142	18729
164	9178	18635
165	9226	18564
166	9272	18489
167	9317	18413
168	9371	18354
169	9439	18322
170	9500	18278
171	9552	18216
172	9601	18148
